!	! ⚠️ ❕ ❗️
!!	!! ‼️
!?	!? ⁉️
#	# #️⃣
$	$ 💰
US	US 🇺🇸
USA	USA 🇺🇸
US国旗	US国旗 🇺🇸
U型磁铁	U型磁铁 🧲
van仔	van仔 🚐
VHS	VHS 📼
vs	vs 🆚️
vs标志	vs标志 🆚️
vs符号	vs符号 🆚️
V字形和平手势	V字形和平手势 ✌️
Watch	Watch ⌚️
WC	WC 🚻 🚽 🚾
wc	wc 🚻 🚽 🚾
WC厕所	WC厕所 🚾
wc符号	wc符号 🚾
WIFI	WIFI 🛜
wink表情	wink表情 😉
wohoo	wohoo 🙌
woof	woof 🐶
woohoo	woohoo 🎉 🙌
word天	word天 🤦‍♀️ 🤦‍♂️
X	X ❌ ❎
x	x ❌ ❎
XD	XD 🤣 😂 😆
XDD	XDD 🤣 😂 😆
XDDD	XDDD 🤣 😂 😆
xo	xo 😘 😚
xoxo	xoxo 💋 😘 😚
XP	XP 😝
xx	xx 💋 😘 😚
xxoo	xxoo 😘 😚
xx眼	xx眼 😵
X光	X光 🩻
X标记	X标记 ❎
x符号	x符号 ❎
yay	yay 👏
Yeah	Yeah 🥳
yes	yes 🙆‍♀️ 🙆‍♂️
yo-yo	yo-yo 🪀
yoyo	yoyo 🪀
zzZ	zzZ 💤 😴
zzz	zzz 💤 😴
〇	〇 0️⃣
㖿	㖿 ✌🏻️
㞎㞎	㞎㞎 💩️
㡌	㡌 🧢
㡌子	㡌子 🧢
㩒钟	㩒钟 🛎
䃈砖	䃈砖 ♦️
䢂	䢂 🛗
䲡鱼	䲡鱼 🦑
一	一 ☝️ 1️⃣
一丝笑容	一丝笑容 🙂
一丢丢手势	一丢丢手势 🤏
一个人	一个人 👤️ 🛀
一个家庭有两个妈妈同一对仔女	一个家庭有两个妈妈同一对仔女 👩‍👩‍👧‍👦
一个家庭有两个妈妈同两个仔	一个家庭有两个妈妈同两个仔 👩‍👩‍👦‍👦
一个家庭有两个妈妈同两个女	一个家庭有两个妈妈同两个女 👩‍👩‍👧‍👧
一个家庭有两个妈妈同个仔	一个家庭有两个妈妈同个仔 👩‍👩‍👦
一个家庭有两个妈妈同个女	一个家庭有两个妈妈同个女 👩‍👩‍👧
一个家庭有两个爸爸同一个仔	一个家庭有两个爸爸同一个仔 👨‍👨‍👦
一个家庭有两个爸爸同一对仔女	一个家庭有两个爸爸同一对仔女 👨‍👨‍👧‍👦
一个家庭有两个爸爸同两个仔	一个家庭有两个爸爸同两个仔 👨‍👨‍👦‍👦
一个家庭有两个爸爸同两个女	一个家庭有两个爸爸同两个女 👨‍👨‍👧‍👧
一个家庭有两个爸爸同个女	一个家庭有两个爸爸同个女 👨‍👨‍👧
一个家庭有妈妈同一对仔女	一个家庭有妈妈同一对仔女 👩‍👧‍👦
一个家庭有妈妈同两个仔	一个家庭有妈妈同两个仔 👩‍👦‍👦
一个家庭有妈妈同两个女	一个家庭有妈妈同两个女 👩‍👧‍👧
一个家庭有妈妈同个仔	一个家庭有妈妈同个仔 👩‍👦
一个家庭有妈妈同个女	一个家庭有妈妈同个女 👩‍👧
一个家庭有妈妈爸爸同一对仔女	一个家庭有妈妈爸爸同一对仔女 👨‍👩‍👧‍👦
一个家庭有妈妈爸爸同两个仔	一个家庭有妈妈爸爸同两个仔 👨‍👩‍👦‍👦
一个家庭有妈妈爸爸同两个女	一个家庭有妈妈爸爸同两个女 👨‍👩‍👧‍👧
一个家庭有妈妈爸爸同个仔	一个家庭有妈妈爸爸同个仔 👨‍👩‍👦 👪
一个家庭有妈妈爸爸同个女	一个家庭有妈妈爸爸同个女 👨‍👩‍👧
一个家庭有爸爸同一对仔女	一个家庭有爸爸同一对仔女 👨‍👧‍👦
一个家庭有爸爸同两个仔	一个家庭有爸爸同两个仔 👨‍👦‍👦
一个家庭有爸爸同两个女	一个家庭有爸爸同两个女 👨‍👧‍👧
一个家庭有爸爸同个仔	一个家庭有爸爸同个仔 👨‍👦
一个家庭有爸爸同个女	一个家庭有爸爸同个女 👨‍👧
一个飞吻	一个飞吻 😘
一人	一人 👤️
一人入场	一人入场 🎟
一令纸	一令纸 🧻
一件式泳衣	一件式泳衣 🩱
一份拉面汤	一份拉面汤 🍜
一会儿见	一会儿见 👋
一会见	一会见 ✌️ 👋
一体式泳衣	一体式泳衣 🩱
一分钟	一分钟 ☝🏻️
一剂	一剂 🧪
一副牌	一副牌 🎴
一勺冰淇淋	一勺冰淇淋 🍨
一卷报纸	一卷报纸 🗞
一卷报纸	一卷报纸 🗞️
一叠书	一叠书 📚
一口烟	一口烟 💨
一只眼睛打开	一只眼睛打开 😘
一品脱啤酒	一品脱啤酒 🍺
一团烟雾	一团烟雾 💨
一块薄饼	一块薄饼 🍕
一块蛋糕	一块蛋糕 🍰
一坨	一坨 💩
一坨屎	一坨屎 💩
一堆书	一堆书 📚
一套火车	一套火车 🚂
一定	一定 🙆🏻
一定女	一定女 🙆🏻‍♀️
一定男	一定男 🙆🏻‍♂️
一家	一家 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家三口	一家三口 👨‍👦‍👦 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👩‍👦 👨‍👩‍👧 👩‍👦‍👦 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👪
一家四口	一家四口 👨‍👨‍👦‍👦 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👩‍👦‍👦 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
一对基友	一对基友 👨‍❤️‍💋‍👨
一对男女之间有个心心	一对男女之间有个心心 👩‍❤️‍👨 💑
一小会	一小会 ☝🏻️
一小撮	一小撮 🤌🏻
一巡	一巡 🍻
一度赞	一度赞 👍
一扎花	一扎花 💐
一把	一把 💐
一捆稻草	一捆稻草 🌾
一排朱古力	一排朱古力 🍫
一摞书	一摞书 📚️
一摞课本	一摞课本 📚️
一撮	一撮 🤌🏻
一杆入洞	一杆入洞 ⛳️
一杆进洞	一杆进洞 ⛳️
一束	一束 💐
一束花	一束花 💐 💐️
一杯	一杯 🥃
一杯冰淇淋	一杯冰淇淋 🍨
一杯咖啡	一杯咖啡 ☕️
一杯威士忌	一杯威士忌 🥃
一杯拉面	一杯拉面 🍜
一杯波旁威士忌	一杯波旁威士忌 🥃
一杯波旁酒	一杯波旁酒 🥃
一杯牛奶	一杯牛奶 🥛
一杯红酒	一杯红酒 🍷
一杯羹	一杯羹 🍜
一杯茶	一杯茶 🍵
一杯葡萄酒	一杯葡萄酒 🍷
一杯酒	一杯酒 🍷 🥃
一杯雪榚	一杯雪榚 🍨
一杯面汤	一杯面汤 🍜
一杯鸡汤面	一杯鸡汤面 🍜
一株植物	一株植物 🌱
一气之下	一气之下 😤
一溜烟	一溜烟 💨
一滴水	一滴水 💧
一滴泪	一滴泪 💧 😢
一滴泪水	一滴泪水 😢
一滴眼泪	一滴眼泪 💧 😢
一滴血	一滴血 🩸
一点	一点 🕐 🕐️
一点三十	一点三十 🕜
一点半	一点半 🕜 🕜️
一点整	一点整 🕐
一点正	一点正 🕐
一点点	一点点 🤌🏻
一点钟	一点钟 🕐
一片披萨	一片披萨 🍕
一片空白	一片空白 😐 😑 😶
一片薄饼	一片薄饼 🍕
一片蛋糕	一片蛋糕 🍰
一球冰淇淋	一球冰淇淋 🍨
一球雪榚	一球雪榚 🍨
一瓶清酒	一瓶清酒 🍶
一男一女拖住手	一男一女拖住手 👫
一百	一百 💯
一百分	一百分 💯 💯️
一百点	一百点 💯
一百点符号	一百点符号 💯
一盘炒面	一盘炒面 🍲
一盘食物	一盘食物 🥘
一碗冰淇淋	一碗冰淇淋 🍨
一碗拉面	一碗拉面 🍜
一碗汤	一碗汤 🍜 🍲
一碗热腾腾的	一碗热腾腾的 🍲
一碗面	一碗面 🍜 🍜️
一碗饭	一碗饭 🍚️
一竿进洞	一竿进洞 ⛳️
一等座	一等座 🚃
一箭穿心	一箭穿心 💘
一级方程式	一级方程式 🏎
一级方程式赛车	一级方程式赛车 🏎
一级棒	一级棒 👍
一组房屋	一组房屋 🏘
一罐食物	一罐食物 🍲
一群人	一群人 👥️
一股烟	一股烟 💨
一股风	一股风 💨
一脸不快	一脸不快 😑 😒
一脸茫然	一脸茫然 😐
一般的表情	一般的表情 😐
一英镑	一英镑 💷
一袋钱	一袋钱 💰
一语不发	一语不发 😶
一身松晒	一身松晒 😌
一轴线	一轴线 🧵
一边去	一边去 😛️
一边皱眉	一边皱眉 😕
一道闪电	一道闪电 ⚡️
一锅食物	一锅食物 🍲 🥘
一闪一闪	一闪一闪 ✨
一闪一闪亮晶晶	一闪一闪亮晶晶 ⭐️
一闪一闪小星星	一闪一闪小星星 ⭐️
一阵大风	一阵大风 💨
一阵强风	一阵强风 💨
一阵烟	一阵烟 💨
一阵间	一阵间 ☝🏻️
一阵风	一阵风 💨
一餐	一餐 🥗
一齐	一齐 🧑🏻‍🤝‍🧑🏻
七	七 7️⃣
七夕	七夕 🎋️
七夕树	七夕树 🎋 🎋️
七彩纸碎	七彩纸碎 🎉 🎊
七星瓢虫	七星瓢虫 🐞️
七月四日	七月四日 🇺🇸
七点	七点 🕖 🕖️
七点三十	七点三十 🕢
七点半	七点半 🕢 🕢️
七点整	七点整 🕖
七点正	七点正 🕖
七点钟	七点钟 🕖
七窍生烟	七窍生烟 😤
万圣节	万圣节 🎃 🎃️ 👻
万圣节南瓜灯笼	万圣节南瓜灯笼 🎃
万字夹	万字夹 📎 🖇
万岁	万岁 🥳 😀 😁 😃 😄 🙌🏻️
万幸万幸	万幸万幸 😅
万灯节	万灯节 🪔
万神庙	万神庙 🏛
万神殿	万神殿 🏛
万福玛利亚	万福玛利亚 🙏
万福马利亚	万福马利亚 🙏
万能钥匙	万能钥匙 🗝
万那杜	万那杜 🇻🇺
万那杜国旗	万那杜国旗 🇻🇺
丈夫	丈夫 🤵🏻‍♂️
三	三 3️⃣
三个音符	三个音符 🎶
三分裤	三分裤 🩳
三叉戟	三叉戟 🔱
三叉戟徽章	三叉戟徽章 🔱
三叉戟标志	三叉戟标志 🔱
三叶草	三叶草 ☘️
三戟叉	三戟叉 🔱️
三文治	三文治 🥙 🥪
三明治	三明治 🥙 🥪
三温暖	三温暖 🧖‍♀️ 🧖‍♂️
三温暖房	三温暖房 🧖‍♀️ 🧖‍♂️
三温暖烤箱	三温暖烤箱 🧖‍♀️ 🧖‍♂️
三点	三点 🕒 🕒️
三点三十	三点三十 🕞
三点半	三点半 🕞 🕞️
三点整	三点整 🕒
三点正	三点正 🕒
三点装	三点装 👙️
三点钟	三点钟 🕒
三硝基甲苯	三硝基甲苯 🧨
三角尺	三角尺 📐 📐️
三角旗	三角旗 🚩 🚩️
三角板	三角板 📐
三角泳裤	三角泳裤 🩲
三角裤	三角裤 🩲
三轮车	三轮车 🛺
上	上 ⬆️ 👆 🔝
上一首	上一首 ⏮️
上下	上下 ↕️
上下箭咀	上下箭咀 ↕️
上下箭嘴	上下箭嘴 ↕️
上下箭嘴按钮	上下箭嘴按钮 ↕️
上下箭头	上下箭头 ↕️
上下箭头按钮	上下箭头按钮 ↕️
上下颠倒	上下颠倒 🙃 🙃️
上下颠倒嘅表情	上下颠倒嘅表情 🙃
上下颠倒的脸	上下颠倒的脸 🙃
上下颠倒高兴的脸	上下颠倒高兴的脸 🙃
上升	上升 ⏫
上升趋势	上升趋势 📈
上厕所	上厕所 🚽 🚾️
上头	上头 👆🏻️
上山铁路	上山铁路 🚞
上床	上床 🛌 🛏
上床	上床 🛏
上床睡觉	上床睡觉 🛌 🛏
上床睡觉	上床睡觉 🛏
上床瞓觉	上床瞓觉 🛏
上弦月	上弦月 🌒 🌓 🌓️ 🌔 🌛️
上方有箭头的信封	上方有箭头的信封 📩
上方有选票的投票箱	上方有选票的投票箱 🗳
上班	上班 💼
上班族	上班族 👨‍💼 👩‍💼
上箭嘴	上箭嘴 ⬆️
上箭嘴按钮	上箭嘴按钮 ⬆️
上箭头	上箭头 ⬆️
上箭头按钮	上箭头按钮 ⬆️
上色	上色 🖍
上衣	上衣 👕 👚
上课	上课 🧑🏻‍🏫
上课女	上课女 👩🏻‍🏫
上课男	上课男 👨🏻‍🏫
上边	上边 👆 👆🏻️
上锁	上锁 🔒 🔒️
上面	上面 👆 👆🏻️
上面𠮶度	上面𠮶度 👆
下	下 ⬇️ 👇
下一首	下一首 ⏭️
下午	下午 🌆 🌇
下午好	下午好 🙂️
下大雨	下大雨 ☔️
下头	下头 👇🏻️
下小雨	下小雨 🌧
下弦月	下弦月 🌗 🌗️ 🌜️
下弦月嘅面孔	下弦月嘅面孔 🌜
下棋	下棋 ♟️
下次见	下次见 👋
下毛毛雨	下毛毛雨 🌧
下箭嘴	下箭嘴 ⬇️
下箭嘴按钮	下箭嘴按钮 ⬇️
下箭头	下箭头 ⬇️
下箭头按钮	下箭头按钮 ⬇️
下肢	下肢 🦵
下跌趋势	下跌趋势 📉
下跪	下跪 🧎🏻
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下载邮件	下载邮件 📩️
下边	下边 👇 👇🏻️
下降	下降 ⏬ 🛬
下雨	下雨 ☔️ 🌦 🌧 🌧️
下雨云朵后的太阳	下雨云朵后的太阳 🌦
下雨天	下雨天 🌦 🌧
下雨的云朵	下雨的云朵 🌧
下雪	下雪 ⛄️ ❄️ 🌨 🌨️ 🏔 🗻
下雪的云朵	下雪的云朵 🌨
下面	下面 🍜 🍲
下面	下面 👇 👇🏻️
下面𠮶度	下面𠮶度 👇
不	不 👎 🤦‍♀️ 🤦‍♂️ 🙅🏻 🫨
不一定	不一定 😕️
不丹	不丹 🇧🇹
不丹国旗	不丹国旗 🇧🇹
不丹旗	不丹旗 🇧🇹
不以为然	不以为然 🙄
不会	不会 😝️
不会发生	不会发生 🙅‍♀️ 🙅‍♂️
不会吧	不会吧 😟️ 😦️ 😮 😯 😱 😲 🙈 🙉 🙊
不会啦	不会啦 😝️
不信	不信 😓️ 😳️
不免费	不免费 🈶️
不关心	不关心 🤷‍♀️ 🤷‍♂️
不关我事	不关我事 🤷🏻
不关我事女	不关我事女 🤷🏻‍♀️
不关我事男	不关我事男 🤷🏻‍♂️
不再看下去	不再看下去 🙈
不准	不准 👎 🚫 🚫️
不准	不准 🚫
不准乱抛垃圾	不准乱抛垃圾 🚯
不准使用手提电话	不准使用手提电话 📵
不准听	不准听 🙉️
不准吸烟	不准吸烟 🚭️
不准吸烟标志	不准吸烟标志 🚭
不准看	不准看 🙈️
不准说	不准说 🙊️
不可能	不可能 👎 😛️ 😟️ 🙅‍♀️ 🙅‍♂️
不听	不听 🙉 🙉️
不告诉你	不告诉你 😏️
不哭	不哭 🤗️
不喜欢	不喜欢 🥴
不在乎	不在乎 🤷‍♀️ 🤷‍♂️
