!	! ⚠️ ❕ ❗️
!!	!! ‼️
!?	!? ⁉️
#	# #️⃣
$	$ 💰
6:00	6:00 🕕
6:30	6:30 🕡
6數字鍵	6數字鍵 6️⃣
6點	6點 🕕
6點半	6點半 🕡
6點整	6點整 🕕
6點正	6點正 🕕
6點鐘	6點鐘 🕕
7	7 7️⃣
747	747 ✈️
7:00	7:00 🕖
7:30	7:30 🕢
7數字鍵	7數字鍵 7️⃣
7月4日	7月4日 🇺🇸
7點	7點 🕖
7點半	7點半 🕢
7點整	7點整 🕖
7點正	7點正 🕖
7點鐘	7點鐘 🕖
8	8 8️⃣
8:00	8:00 🕗
8:30	8:30 🕣
8數字鍵	8數字鍵 8️⃣
8號球	8號球 🎱
8點	8點 🕗
8點半	8點半 🕣
8點整	8點整 🕗
8點正	8點正 🕗
8點鐘	8點鐘 🕗
9	9 9️⃣
9:00	9:00 🕘
9:30	9:30 🕤
9數字鍵	9數字鍵 9️⃣
9點	9點 🕘
9點半	9點半 🕤
9點整	9點整 🕘
9點正	9點正 🕘
9點鐘	9點鐘 🕘
:P	:P 😜
;P	;P 😜
?	? ❓ ❔
A	A 🅰️
AB	AB 🆎️
AB型	AB型 🆎️
AB型血	AB型血 🆎️
AB型血型	AB型血型 🆎️
ATM	ATM 🏧
ATM自動取款機符號	ATM自動取款機符號 🏧
AppleGenius	AppleGenius 👨‍💻 👩‍💻
AppleMouse鼠標	AppleMouse鼠標 🖱
AppleMusic	AppleMusic 🎧
Appledev	Appledev 👨‍💻 👩‍💻
Applegenius	Applegenius 👨‍💻 👩‍💻
Applewatch	Applewatch ⌚️
Apple天才	Apple天才 👨‍💻 👩‍💻
Apple工程師	Apple工程師 👨‍💻 👩‍💻
Apple滑鼠	Apple滑鼠 🖱
Apple開發	Apple開發 👨‍💻 👩‍💻
Apple開發人員	Apple開發人員 👨‍💻 👩‍💻
Apple開發者	Apple開發者 👨‍💻 👩‍💻
Apple鼠標	Apple鼠標 🖱
A型	A型 🅰️
A型血	A型血 🅰️
A型血型	A型血型 🅰️
B	B 🅱️
BB	BB 🍼 👶
BBQ	BBQ 🍖 🍗
BB仔	BB仔 👶
BB天使	BB天使 👼
BB機	BB機 📟
BFF	BFF 👯‍♀️ 👯‍♂️
BIOT旗	BIOT旗 🇮🇴
BIOT旗幟	BIOT旗幟 🇮🇴
BZZ	BZZ 🐝
B型	B型 🅱️
B型血	B型血 🅱️
B型血型	B型血型 🅱️
CD	CD 💽 💿 📀
CEO	CEO 👨‍💼 👩‍💼
CFO	CFO 👨‍💼 👩‍💼
CL	CL 🆑️
CL標誌	CL標誌 🆑️
CL符號	CL符號 🆑️
COO	COO 👨‍💼 👩‍💼
COOL	COOL 🆒️
CPA	CPA 👨‍💼 👩‍💼
DNA	DNA 🧬
DVD	DVD 📀
E.T.	E.T. 👽
EMT	EMT 🚑
ET	ET 👽
EUR	EUR 💶
EarPod	EarPod 🎧
EarPods	EarPods 🎧
Euro	Euro 💶
F1	F1 🏎
F1方程式賽車	F1方程式賽車 🏎
F1賽車	F1賽車 🏎
FM	FM 📻
FREE	FREE 🆓️
Frosty	Frosty ☃️
GB	GB 🇬🇧
GBP	GBP 💷
GLBT	GLBT 🏳️‍🌈
GarageBand	GarageBand 🎸
Halloween	Halloween 🎃
ICHC	ICHC 🥺
ID	ID 🎫 🪪 🆔️
ILY	ILY 🤟
IT	IT 👨‍💻 👩‍💻
IT人員	IT人員 👨‍💻 👩‍💻
IT人士	IT人士 👨‍💻 👩‍💻
IT女	IT女 👩‍💻
IT工人	IT工人 👨‍💻 👩‍💻
IT工作者	IT工作者 👨‍💻 👩‍💻
IT男	IT男 👨‍💻
JPY	JPY 💴
KTV	KTV 🎤
Kaaba	Kaaba 🕋
K到頭	K到頭 🤕
K歌	K歌 🪩
LGBT	LGBT 🏳️‍🌈
LGBTQ	LGBTQ 🏳️‍🌈
LGBTpride旗幟	LGBTpride旗幟 🏳️‍🌈
LGBT自豪	LGBT自豪 🏳️‍🌈
LGBT驕傲	LGBT驕傲 🏳️‍🌈
LGBT驕傲旗	LGBT驕傲旗 🏳️‍🌈
LPGA	LPGA ⛳️
M	M Ⓜ️
MD	MD 💽
MLB	MLB ⚾️
MLS	MLS ⚽️
Mac	Mac 💻 🖥
MacBook	MacBook 💻
MacBookAir	MacBookAir 💻
MacBookPro	MacBookPro 💻
Madam	Madam 👮‍♀️ 🚓
NBA	NBA 🏀
NEW	NEW 🆕️
NFL	NFL 🏈
NG	NG 🆖️
NG標誌	NG標誌 🆖️
NG符號	NG符號 🆖️
O	O 🅾️
OB	OB 👨‍💼
OG	OG 👨‍💼
OK	OK 👍 🆗️
OK手勢	OK手勢 👌 🙆‍♀️ 🙆‍♂️
OK符號	OK符號 🆗️
OK繃	OK繃 🩹
OL	OL 👩‍💼
O咀	O咀 😶
O嘴	O嘴 😶
O型	O型 🅾️
O型血	O型血 🅾️
O型血型	O型血型 🅾️
PC	PC 💻
PGA	PGA ⛳️
PI	PI 🕵️‍♀️ 🕵️‍♂️
Polo衫	Polo衫 👕
RIP	RIP 💀
RV	RV 🚙
SARS	SARS 😷
SOS	SOS 🆘️
SOS符號	SOS符號 🆘️
SPA	SPA 🧖‍♀️ 🧖‍♂️
SUV	SUV 🚙
Shaka標誌	Shaka標誌 🤙
Sherlock	Sherlock 🕵️‍♂️
SherlockHolmes	SherlockHolmes 🕵️‍♂️
TM	TM ™️
TMD	TMD 🤬
TV	TV 📺
Triton	Triton 🔱
U.N	U.N 🇺🇳
U.N.旗幟	U.N.旗幟 🇺🇳
U.S.國旗	U.S.國旗 🇺🇸
UAE	UAE 🇦🇪
UAE國旗	UAE國旗 🇦🇪
UAE旗	UAE旗 🇦🇪
UFO	UFO 🛸
UK	UK 🇬🇧
UN	UN 🇺🇳
UN旗幟	UN旗幟 🇺🇳
UP	UP 🆙️
US	US 🇺🇸
USA	USA 🇺🇸
US國旗	US國旗 🇺🇸
U型磁鐵	U型磁鐵 🧲
VHS	VHS 📼
V字形和平手勢	V字形和平手勢 ✌️
WC	WC 🚻 🚽 🚾
WC廁所	WC廁所 🚾
Watch	Watch ⌚️
X	X ❌ ❎
XD	XD 🤣 😂 😆
XDD	XDD 🤣 😂 😆
XDDD	XDDD 🤣 😂 😆
XP	XP 😝
X光	X光 🩻
X標記	X標記 ❎
Yeah	Yeah 🥳
a	a 🅰️
ab	ab 🆎️
abc	abc 🔤
amen	amen 🙏
aum符號	aum符號 🕉
b	b 🅱️
back標誌的箭嘴	back標誌的箭嘴 🔙
back標誌的箭頭	back標誌的箭頭 🔙
balloon	balloon 🎈
band-aid	band-aid 🩹
bb	bb 👶 👼 🚼
bb天使	bb天使 👼
beer	beer 🍻
bicep	bicep 💪
birthday	birthday 🎈
boo	boo 😒
bot	bot 🤖
bravo	bravo 👏
brrr	brrr 🥶
buzz	buzz 🐝
bye	bye 👋
byebye	byebye 👋
bzzz	bzzz 🐝
bzzzz	bzzzz 🐝
bzzzzz	bzzzzz 🐝
call我	call我 🤙
cd	cd 💽 💿 📀
cheers	cheers 🍻
cl符號	cl符號 🆑️
cool符號	cool符號 🆒️
disco	disco 💃
dllm	dllm 🤬
dna	dna 🧬
dvd	dvd 📀
end標誌的箭嘴	end標誌的箭嘴 🔚
end標誌的箭頭	end標誌的箭頭 🔚
flamenco	flamenco 💃
formula1	formula1 🏎
formulaone	formulaone 🏎
free符號	free符號 🆓️
gelato	gelato 🍧 🍨
grrrr	grrrr 🐯 👿 😖
haha	haha 😜 😝
hahaha	hahaha 😆
handsonhead	handsonhead 🙆‍♀️ 🙆‍♂️
heehee	heehee 😜
hello	hello 👋
hey	hey 👋
hi	hi 👋
hmm	hmm 🤔
i	i ℹ️
iMac	iMac 🖥
iPhone	iPhone 🎧 📱 📲
iPhones	iPhones 📱
iPhone和箭頭	iPhone和箭頭 📲
iPod	iPod 🎧 📱
iPods	iPods 📱
jeans	jeans 👖
kissbye	kissbye 😘
lab	lab 🔬
laptop	laptop 💻
lmao	lmao 🤣 😂 😆
lucky	lucky ☺️
lulz	lulz 🤣 😆
m	m 👣
mmmm	mmmm 😋
moai	moai 🗿
moyai	moyai 🗿
mua	mua 💋 😙
muah	muah 😘 😚
muahaha	muahaha 😈
music	music 🎵 🎶
namaste	namaste 🙏
neenerneener	neenerneener 🤪 😜
new符號	new符號 🆕️
ng	ng 🆖️
no	no 👎
notebook	notebook 💻
o	o 🅾️
ok	ok 👌 👍 🆗️
okay	okay 👌 🆗️
okay手勢	okay手勢 👌
ok手	ok手 👌
ok手勢	ok手勢 👌 🙆‍♀️ 🙆‍♂️
om符號	om符號 🕉
on	on 🔛
on!標誌的箭頭	on!標誌的箭頭 🔛
on!箭頭	on!箭頭 🔛
on箭頭	on箭頭 🔛
oops	oops 🙊
ooxx	ooxx 😘 😚
ouch	ouch 😣
p	p 🅿️
party時間	party時間 🥳
pc	pc 💻
peace	peace ✌️
polo	polo 👕 👚
polo恤	polo恤 👕
polo衫	polo衫 👕
portfolio	portfolio 💼
prrr	prrr 😸 😺 😻
puaaloalo	puaaloalo 🌺
rofl	rofl 🤣
rotfl	rotfl 😂 😜 😝
sales	sales 👨‍💼 👩‍💼
salsa	salsa 💃
salsa舞	salsa舞 💃
sing	sing 🎵 🎶
snapstreak	snapstreak 🔥
soon標誌	soon標誌 🔜
soon標誌的箭嘴	soon標誌的箭嘴 🔜
soon標誌的箭頭	soon標誌的箭頭 🔜
soon箭頭	soon箭頭 🔜
sos	sos 🆘️
spa	spa 🧖‍♀️ 🧖‍♂️
spf	spf 🧴
taco	taco 🌮
tmd	tmd 🤬
tnt	tnt 🧨
top標誌的箭嘴	top標誌的箭嘴 🔝
top標誌的箭頭	top標誌的箭頭 🔝
tv	tv 📺
ummm	ummm 🤔 🤨 🧐
ummmm	ummmm 😳
up符號	up符號 🆙️
van仔	van仔 🚐
vs	vs 🆚️
vs標誌	vs標誌 🆚️
vs符號	vs符號 🆚️
wc	wc 🚻 🚽 🚾
wc符號	wc符號 🚾
wink表情	wink表情 😉
wohoo	wohoo 🙌
woof	woof 🐶
woohoo	woohoo 🎉 🙌
word天	word天 🤦‍♀️ 🤦‍♂️
x	x ❌ ❎
xo	xo 😘 😚
xoxo	xoxo 💋 😘 😚
xx	xx 💋 😘 😚
xxoo	xxoo 😘 😚
xx眼	xx眼 😵
x符號	x符號 ❎
yay	yay 👏
yes	yes 🙆‍♀️ 🙆‍♂️
yo-yo	yo-yo 🪀
yoyo	yoyo 🪀
zzZ	zzZ 💤 😴
zzz	zzz 💤 😴
〇	〇 0️⃣
「On!」箭嘴	「On!」箭嘴 🔛
「唵」符號	「唵」符號 🕉
㖿	㖿 ✌🏻️
㞎㞎	㞎㞎 💩
㡌	㡌 🧢
㡌子	㡌子 🧢
㩒鐘	㩒鐘 🛎
䃈磚	䃈磚 ♦️
一	一 ☝️ 1️⃣
一丟丟手勢	一丟丟手勢 🤏
一人	一人 👤
一人入場	一人入場 🎟
一令紙	一令紙 🧻
一件式泳衣	一件式泳衣 🩱
一份拉麪湯	一份拉麪湯 🍜
一個人	一個人 👤 🛀
一個家庭有兩個媽媽同一對仔女	一個家庭有兩個媽媽同一對仔女 👩‍👩‍👧‍👦
一個家庭有兩個媽媽同個仔	一個家庭有兩個媽媽同個仔 👩‍👩‍👦
一個家庭有兩個媽媽同個女	一個家庭有兩個媽媽同個女 👩‍👩‍👧
一個家庭有兩個媽媽同兩個仔	一個家庭有兩個媽媽同兩個仔 👩‍👩‍👦‍👦
一個家庭有兩個媽媽同兩個女	一個家庭有兩個媽媽同兩個女 👩‍👩‍👧‍👧
一個家庭有兩個爸爸同一個仔	一個家庭有兩個爸爸同一個仔 👨‍👨‍👦
一個家庭有兩個爸爸同一對仔女	一個家庭有兩個爸爸同一對仔女 👨‍👨‍👧‍👦
一個家庭有兩個爸爸同個女	一個家庭有兩個爸爸同個女 👨‍👨‍👧
一個家庭有兩個爸爸同兩個仔	一個家庭有兩個爸爸同兩個仔 👨‍👨‍👦‍👦
一個家庭有兩個爸爸同兩個女	一個家庭有兩個爸爸同兩個女 👨‍👨‍👧‍👧
一個家庭有媽媽同一對仔女	一個家庭有媽媽同一對仔女 👩‍👧‍👦
一個家庭有媽媽同個仔	一個家庭有媽媽同個仔 👩‍👦
一個家庭有媽媽同個女	一個家庭有媽媽同個女 👩‍👧
一個家庭有媽媽同兩個仔	一個家庭有媽媽同兩個仔 👩‍👦‍👦
一個家庭有媽媽同兩個女	一個家庭有媽媽同兩個女 👩‍👧‍👧
一個家庭有媽媽爸爸同一對仔女	一個家庭有媽媽爸爸同一對仔女 👨‍👩‍👧‍👦
一個家庭有媽媽爸爸同個仔	一個家庭有媽媽爸爸同個仔 👨‍👩‍👦 👪
一個家庭有媽媽爸爸同個女	一個家庭有媽媽爸爸同個女 👨‍👩‍👧
一個家庭有媽媽爸爸同兩個仔	一個家庭有媽媽爸爸同兩個仔 👨‍👩‍👦‍👦
一個家庭有媽媽爸爸同兩個女	一個家庭有媽媽爸爸同兩個女 👨‍👩‍👧‍👧
一個家庭有爸爸同一對仔女	一個家庭有爸爸同一對仔女 👨‍👧‍👦
一個家庭有爸爸同個仔	一個家庭有爸爸同個仔 👨‍👦
一個家庭有爸爸同個女	一個家庭有爸爸同個女 👨‍👧
一個家庭有爸爸同兩個仔	一個家庭有爸爸同兩個仔 👨‍👦‍👦
一個家庭有爸爸同兩個女	一個家庭有爸爸同兩個女 👨‍👧‍👧
一個飛吻	一個飛吻 😘
一分鐘	一分鐘 ☝🏻️
一副牌	一副牌 🎴
一劑	一劑 🧪
一勺冰淇淋	一勺冰淇淋 🍨
一卷報紙	一卷報紙 🗞️
一口煙	一口煙 💨
一品脱啤酒	一品脱啤酒 🍺
一團煙霧	一團煙霧 💨
一坨	一坨 💩
一坨屎	一坨屎 💩
一堆書	一堆書 📚
一塊薄餅	一塊薄餅 🍕
一塊蛋糕	一塊蛋糕 🍰
一套火車	一套火車 🚂
一定	一定 🙆🏻
一定女	一定女 🙆🏻‍♀️
一定男	一定男 🙆🏻‍♂️
一家	一家 👨‍👦 👨‍👧 👨‍👧‍👦 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👧 👩‍👧‍👦
一家三口	一家三口 👨‍👦‍👦 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👩‍👦 👨‍👩‍👧 👩‍👦‍👦 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👪
一家四口	一家四口 👨‍👨‍👦‍👦 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👩‍👦‍👦 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
一對基友	一對基友 👨‍❤️‍💋‍👨
一對男女之間有個心心	一對男女之間有個心心 👩‍❤️‍👨 💑
一小撮	一小撮 🤌🏻
一小會	一小會 ☝🏻️
一巡	一巡 🍻
一度讚	一度讚 👍
一度贊	一度贊 👍
一把	一把 💐
一捆稻草	一捆稻草 🌾
一捲報紙	一捲報紙 🗞
一排朱古力	一排朱古力 🍫
一摞書	一摞書 📚
一摞課本	一摞課本 📚
一撮	一撮 🤌🏻
一會兒見	一會兒見 👋
一會見	一會見 ✌️ 👋
一束	一束 💐
一束花	一束花 💐
一杯	一杯 🥃
一杯冰淇淋	一杯冰淇淋 🍨
一杯咖啡	一杯咖啡 ☕️
一杯威士忌	一杯威士忌 🥃
一杯拉麪	一杯拉麪 🍜
一杯波旁威士忌	一杯波旁威士忌 🥃
一杯波旁酒	一杯波旁酒 🥃
一杯牛奶	一杯牛奶 🥛
一杯紅酒	一杯紅酒 🍷
一杯羹	一杯羹 🍜
一杯茶	一杯茶 🍵
一杯葡萄酒	一杯葡萄酒 🍷
一杯酒	一杯酒 🍷 🥃
一杯雞湯麪	一杯雞湯麪 🍜
一杯雪榚	一杯雪榚 🍨
一杯麪湯	一杯麪湯 🍜
一株植物	一株植物 🌱
一桿入洞	一桿入洞 ⛳️
一桿進洞	一桿進洞 ⛳️
一氣之下	一氣之下 😤
一溜煙	一溜煙 💨
一滴水	一滴水 💧
一滴淚	一滴淚 💧 😢
一滴淚水	一滴淚水 😢
一滴眼淚	一滴眼淚 💧 😢
一滴血	一滴血 🩸
一片披薩	一片披薩 🍕
一片空白	一片空白 😐 😑 😶
一片薄餅	一片薄餅 🍕
一片蛋糕	一片蛋糕 🍰
一球冰淇淋	一球冰淇淋 🍨
一球雪榚	一球雪榚 🍨
一瓶清酒	一瓶清酒 🍶
一男一女拖住手	一男一女拖住手 👫
一疊書	一疊書 📚
一百	一百 💯
一百分	一百分 💯
一百點	一百點 💯
一百點符號	一百點符號 💯
一盤炒麪	一盤炒麪 🍲
一盤食物	一盤食物 🥘
一碗冰淇淋	一碗冰淇淋 🍨
一碗拉麪	一碗拉麪 🍜
一碗湯	一碗湯 🍜 🍲
一碗熱騰騰的	一碗熱騰騰的 🍲
一碗飯	一碗飯 🍚
一碗麪	一碗麪 🍜
一竿進洞	一竿進洞 ⛳️
一等座	一等座 🚃
一箭穿心	一箭穿心 💘
一級方程式	一級方程式 🏎
一級方程式賽車	一級方程式賽車 🏎
一級棒	一級棒 👍
一紮花	一紮花 💐
一組房屋	一組房屋 🏘
一絲笑容	一絲笑容 🙂
一罐食物	一罐食物 🍲
一羣人	一羣人 👥
一股煙	一股煙 💨
一股風	一股風 💨
一臉不快	一臉不快 😑 😒
一臉茫然	一臉茫然 😐
一般的表情	一般的表情 😐
一英鎊	一英鎊 💷
一袋錢	一袋錢 💰
一語不發	一語不發 😶
一身鬆曬	一身鬆曬 😌
一軸線	一軸線 🧵
一道閃電	一道閃電 ⚡️
一邊去	一邊去 😛
一邊皺眉	一邊皺眉 😕
一鍋食物	一鍋食物 🍲 🥘
一閃一閃	一閃一閃 ✨
一閃一閃亮晶晶	一閃一閃亮晶晶 ⭐️
一閃一閃小星星	一閃一閃小星星 ⭐️
一陣大風	一陣大風 💨
一陣強風	一陣強風 💨
一陣煙	一陣煙 💨
一陣間	一陣間 ☝🏻️
一陣風	一陣風 💨
一隻眼睛打開	一隻眼睛打開 😘
一餐	一餐 🥗
一體式泳衣	一體式泳衣 🩱
一點	一點 🕐
一點三十	一點三十 🕜
一點半	一點半 🕜
一點整	一點整 🕐
一點正	一點正 🕐
一點鐘	一點鐘 🕐
一點點	一點點 🤌🏻
一齊	一齊 🧑🏻‍🤝‍🧑🏻
七	七 7️⃣
七夕	七夕 🎋
七夕樹	七夕樹 🎋
七彩紙碎	七彩紙碎 🎉 🎊
七星瓢蟲	七星瓢蟲 🐞
七月四日	七月四日 🇺🇸
七竅生煙	七竅生煙 😤
七點	七點 🕖
七點三十	七點三十 🕢
七點半	七點半 🕢
七點整	七點整 🕖
七點正	七點正 🕖
七點鐘	七點鐘 🕖
丈夫	丈夫 🤵🏻‍♂️
三	三 3️⃣
三個音符	三個音符 🎶
三分褲	三分褲 🩳
三叉戟	三叉戟 🔱
三叉戟徽章	三叉戟徽章 🔱
三叉戟標誌	三叉戟標誌 🔱
三戟叉	三戟叉 🔱
三文治	三文治 🥙 🥪
三明治	三明治 🥙 🥪
三温暖	三温暖 🧖‍♀️ 🧖‍♂️
三温暖房	三温暖房 🧖‍♀️ 🧖‍♂️
三温暖烤箱	三温暖烤箱 🧖‍♀️ 🧖‍♂️
三硝基甲苯	三硝基甲苯 🧨
三葉草	三葉草 ☘️
三角尺	三角尺 📐
三角旗	三角旗 🚩
三角板	三角板 📐
三角泳褲	三角泳褲 🩲
三角褲	三角褲 🩲
三輪車	三輪車 🛺
三點	三點 🕒
三點三十	三點三十 🕞
三點半	三點半 🕞
三點整	三點整 🕒
三點正	三點正 🕒
三點裝	三點裝 👙
三點鐘	三點鐘 🕒
上	上 ⬆️ 👆 🔝
上一首	上一首 ⏮️
上下	上下 ↕️
上下箭咀	上下箭咀 ↕️
上下箭嘴	上下箭嘴 ↕️
上下箭嘴按鈕	上下箭嘴按鈕 ↕️
上下箭頭	上下箭頭 ↕️
上下箭頭按鈕	上下箭頭按鈕 ↕️
上下顛倒	上下顛倒 🙃
上下顛倒嘅表情	上下顛倒嘅表情 🙃
上下顛倒的臉	上下顛倒的臉 🙃
上下顛倒高興的臉	上下顛倒高興的臉 🙃
上升	上升 ⏫
上升趨勢	上升趨勢 📈
上山鐵路	上山鐵路 🚞
上床	上床 🛏
上床睡覺	上床睡覺 🛏
上床瞓覺	上床瞓覺 🛏
上廁所	上廁所 🚽 🚾
上弦月	上弦月 🌒 🌓 🌔 🌛
上方有箭頭的信封	上方有箭頭的信封 📩
上方有選票的投票箱	上方有選票的投票箱 🗳
上牀	上牀 🛌 🛏
上牀睡覺	上牀睡覺 🛌 🛏
上班	上班 💼
上班族	上班族 👨‍💼 👩‍💼
上箭嘴	上箭嘴 ⬆️
上箭嘴按鈕	上箭嘴按鈕 ⬆️
上箭頭	上箭頭 ⬆️
上箭頭按鈕	上箭頭按鈕 ⬆️
上色	上色 🖍
上衣	上衣 👕 👚
上課	上課 🧑🏻‍🏫
上課女	上課女 👩🏻‍🏫
上課男	上課男 👨🏻‍🏫
上邊	上邊 👆 👆🏻
上鎖	上鎖 🔒
上面	上面 👆 👆🏻
上面嗰度	上面嗰度 👆
上頭	上頭 👆🏻
下	下 ⬇️ 👇
下一首	下一首 ⏭️
下午	下午 🌆 🌇
下午好	下午好 🙂
下大雨	下大雨 ☔️
下小雨	下小雨 🌧
下弦月	下弦月 🌗 🌜
下弦月嘅面孔	下弦月嘅面孔 🌜
下棋	下棋 ♟️
下次見	下次見 👋
下毛毛雨	下毛毛雨 🌧
下箭嘴	下箭嘴 ⬇️
下箭嘴按鈕	下箭嘴按鈕 ⬇️
下箭頭	下箭頭 ⬇️
下箭頭按鈕	下箭頭按鈕 ⬇️
下肢	下肢 🦵
下跌趨勢	下跌趨勢 📉
下跪	下跪 🧎🏻
下跪女	下跪女 🧎🏻‍♀️
下跪男	下跪男 🧎🏻‍♂️
下載郵件	下載郵件 📩
下邊	下邊 👇 👇🏻
下降	下降 ⏬ 🛬
下雨	下雨 ☔️ 🌦 🌧
下雨天	下雨天 🌦 🌧
下雨的雲朵	下雨的雲朵 🌧
下雨雲朵後的太陽	下雨雲朵後的太陽 🌦
下雪	下雪 ⛄️ ❄️ 🌨 🌨️ 🏔 🗻
下雪的雲朵	下雪的雲朵 🌨
下面	下面 👇 👇🏻
下面嗰度	下面嗰度 👇
下頭	下頭 👇🏻
下麪	下麪 🍜 🍲
不	不 👎 🤦‍♀️ 🤦‍♂️ 🙅🏻
不一定	不一定 😕
不丹	不丹 🇧🇹
不丹國旗	不丹國旗 🇧🇹
不丹旗	不丹旗 🇧🇹
不以為然	不以為然 🙄
不信	不信 😓 😳
不免費	不免費 🈶️
不再看下去	不再看下去 🙈
不准	不准 👎 🚫
不准亂拋垃圾	不准亂拋垃圾 🚯
不准使用手提電話	不准使用手提電話 📵
不准吸煙	不准吸煙 🚭
不准吸煙標誌	不准吸煙標誌 🚭
不准看	不准看 🙈
不准聽	不准聽 🙉
不准説	不准説 🙊
不可能	不可能 👎 😛 😟 🙅‍♀️ 🙅‍♂️
不告訴你	不告訴你 😏
不哭	不哭 🤗
不喜歡	不喜歡 🥴
不在乎	不在乎 🤷‍♀️ 🤷‍♂️
不太爽	不太爽 😒
不女	不女 🙅🏻‍♀️
不好	不好 👎 😱 🙅‍♀️ 🙅‍♂️ 🙅🏻 🆖️
不好了	不好了 😱 🙈 🙉
不好吧	不好吧 😰
不好女	不好女 🙅🏻‍♀️
不好意思	不好意思 🙏🏻
不好玩	不好玩 😝 😴
不好男	不好男 🙅🏻‍♂️
不好笑	不好笑 😐 😑 😒
